AAI36556.1,AAI36556.1,100.000,516,0,0,1,516,1,516,0.0,1034,100.00
AAI36556.1,XP_013221293.1,67.647,510,110,7,19,516,6,472,0.0,605,72.35
AAI36556.1,XP_011285475.1,64.245,523,144,7,20,516,7,512,0.0,570,69.98
AAI36556.1,XP_031304210.1,63.327,499,143,6,22,509,9,478,0.0,566,70.14
AAI36556.1,NP_001028863.1,63.636,495,134,5,20,514,5,453,0.0,565,70.51
AAI36556.1,AAI38800.1,62.173,497,140,5,20,514,5,455,0.0,543,69.42
AAI36556.1,AAI51519.1,62.023,524,122,8,20,516,7,480,0.0,529,68.51
AAI38800.1,AAI38800.1,100.000,457,0,0,1,457,1,457,0.0,931,100.00
AAI38800.1,NP_001028863.1,88.840,457,47,2,1,456,1,454,0.0,790,93.00
AAI38800.1,XP_013221293.1,70.426,470,114,9,5,455,7,470,0.0,582,77.45
AAI38800.1,AAI36556.1,63.052,498,134,6,5,455,20,514,0.0,535,70.08
AAI38800.1,XP_031304210.1,60.291,481,155,8,1,450,3,478,0.0,528,68.81
AAI38800.1,XP_011285475.1,58.546,509,148,8,5,455,7,510,2.87e-179,502,66.40
AAI38800.1,AAI51519.1,59.454,476,160,8,1,450,1,469,1.22e-170,479,69.12
NP_001028863.1,NP_001028863.1,100.000,455,0,0,1,455,1,455,0.0,931,100.00
NP_001028863.1,AAI38800.1,88.840,457,47,2,1,454,1,456,0.0,766,93.00
NP_001028863.1,XP_013221293.1,73.233,467,104,7,5,453,7,470,0.0,624,80.09
NP_001028863.1,AAI36556.1,63.636,495,134,5,5,453,20,514,0.0,547,70.51
NP_001028863.1,XP_031304210.1,61.077,483,146,9,1,448,3,478,0.0,540,68.94
NP_001028863.1,AAI51519.1,61.441,472,155,7,1,448,1,469,2.78e-180,503,70.34
NP_001028863.1,XP_011285475.1,56.778,509,161,6,2,453,4,510,3.25e-172,484,64.05
XP_011285475.1,XP_011285475.1,100.000,512,0,0,1,512,1,512,0.0,1026,100.00
XP_011285475.1,XP_031304210.1,68.431,510,124,7,1,505,1,478,0.0,625,74.12
XP_011285475.1,AAI51519.1,66.857,525,116,7,1,512,1,480,0.0,590,72.00
XP_011285475.1,XP_013221293.1,61.641,524,137,4,1,512,1,472,0.0,550,67.37
XP_011285475.1,AAI36556.1,64.245,523,144,7,7,512,20,516,0.0,546,69.98
XP_011285475.1,AAI38800.1,58.398,512,150,8,4,510,2,455,9.15e-178,498,66.21
XP_011285475.1,NP_001028863.1,56.778,509,161,7,4,510,2,453,9.76e-172,483,64.24
XP_031304210.1,XP_031304210.1,100.000,499,0,0,1,499,1,499,0.0,1009,100.00
XP_031304210.1,AAI51519.1,77.366,486,97,5,1,484,1,475,0.0,665,82.30
XP_031304210.1,XP_011285475.1,68.431,510,124,7,1,478,1,505,0.0,598,74.12
XP_031304210.1,XP_013221293.1,64.155,491,137,7,1,478,1,465,0.0,538,70.06
XP_031304210.1,AAI36556.1,63.327,499,143,6,9,478,22,509,0.0,518,70.14
XP_031304210.1,NP_001028863.1,61.458,480,149,9,3,478,1,448,0.0,511,69.38
XP_031304210.1,AAI38800.1,60.581,482,152,9,3,478,1,450,5.14e-178,498,68.67
XP_013221293.1,XP_013221293.1,100.000,472,0,0,1,472,1,472,0.0,957,100.00
XP_013221293.1,NP_001028863.1,73.233,467,104,7,7,470,5,453,0.0,630,80.09
XP_013221293.1,AAI36556.1,67.647,510,110,7,6,472,19,516,0.0,584,72.35
XP_013221293.1,AAI38800.1,69.444,468,122,8,7,470,5,455,0.0,575,76.28
XP_013221293.1,XP_031304210.1,64.155,491,137,7,1,465,1,478,0.0,569,70.06
XP_013221293.1,XP_011285475.1,61.641,524,137,4,1,472,1,512,0.0,559,67.37
XP_013221293.1,AAI51519.1,64.228,492,144,7,1,472,1,480,0.0,531,71.54
AAI51519.1,AAI51519.1,100.000,480,0,0,1,480,1,480,0.0,961,100.00
AAI51519.1,XP_031304210.1,77.366,486,97,5,1,475,1,484,0.0,700,82.30
AAI51519.1,XP_011285475.1,66.857,525,116,7,1,480,1,512,0.0,598,72.00
AAI51519.1,XP_013221293.1,64.228,492,144,7,1,480,1,472,0.0,532,71.54
AAI51519.1,AAI36556.1,62.023,524,122,8,7,480,20,516,0.0,510,68.51
AAI51519.1,NP_001028863.1,61.441,472,155,7,1,469,1,448,0.0,509,70.34
AAI51519.1,AAI38800.1,58.824,476,163,8,1,469,1,450,5.65e-171,479,68.49


